S/NO,QUESTIONS,OPTION A,OPTION B,OPTION C,OPTION D,OPTION E,CORRECT ANSWER,TOPIC,,,,LEVEL
966,The system of agriculture which involves the cultivtion of crops and rearing of animals for family consumption only is termed,peasant farming.,plantation agriculture.,commercial farming.,subsistence farming.,,A,Agriculture,,,,BEGINNER
967,An industry whose product loses considerable weight after processing must be sited close to,the source of finance.,a ready market.,a power station.,the source of raw materials.,,D,Industrialization,,,,BEGINNER
968,Which of the following is a threat to the existence of middlemen?,Consumers' co-operative societies,Producers' Co-operative societies,Sales agents,Large scale producers,,C,Production,,,,BEGINNER
969,"In an industrial area, the location of industries is particularly influenced by",extent of the division of labour.,external economies.,internal economies.,nearness to financial institution.,,C,Industrialization,,,,BEGINNER
970,Which of the following is a transfer income?,Dividends,Rent,Pensions,Inerest,,C,National income,,,,BEGINNER
971,The value-added method used in measuring national income is to,measure output at factor cost.,avoid multiple counting of output.,deduct depreciation of capital assets.,add net factor income from abroad.,,A,National income,,,,BEGINNER
972,Which of the following is most likely to be of benefit to a debtor?,Inflation,Deflation,Revaluation,Monetization,,A,National income,,,,BEGINNER
973,The formula Y = C + I + G + (X - M)  will be appropriate for measuring national income using the,income approach.,expenditure approach.,output approach.,factor approach.,,B,National income,,,,BEGINNER
974,A measure of the value of money in an economy is the,size of workers' income.,general price level.,total level of savings.,total amount of loans granted by the banks.,,B,Money,,,,BEGINNER
975,One characteristic of moneyt is that it should be,a sandard for deferred payment.,stable in value.,a store of value.,acceptable by the central bank.,,A,Money,,,,BEGINNER
976,A financial institution that specializes in giving loans using real assets as collageral security is a,development bank.,Insurance company,central bank.,mortgage bank.,,D,Financial institution,,,,BEGINNER
977,The function that distinguishes commercial banks from the central bank is that the former,is a leader of last resort.,accepts deposits from the public.,services the public debt.,regulates foreign exchange.,,B,Financial institution,,,,BEGINNER
978,Direct taxes include,Excise duty,Ad valorem tax,Specific tax,Capital gains tax,,D,Public finance/taxation,,,,BEGINNER
979,The control of aggregate demand through changes in government spending and tax rates is referred to as,monetary policy.,government policy.,income policy.,fiscal policy.,,D,Public finance,,,,BEGINNER
980,Which of the following is not a feature of economic under-development?,Monocultural economy,High productivity,Low life expectancy,Income inequality,,B,International trade,,,,BEGINNER
981,One way of speeding up the economic development of a country is by encouraging,the consumption of consumer goods.,early marriages.,the importation of more consumergoods.,savings and investment.,,D,International trade,,,,BEGINNER
982,Dumping in international trade occurs when a foreign firm sells,above its cost of production at home and abroad.,below its cost of production at home and abroad.,more goods to a country than the country has need of.,below its cost of production in a foreign market.,,C,International trade,,,,BEGINNER
983,Modern international trade is based on the principle of,absolute cost advantage.,comparative cost advantage.,terms of trade.,balance of trade.,,B,International trade,,,,BEGINNER
984,Which of the following items is recorded in a country's current account section of the balance of payments?,Investment income,Foreign direct investment,Long-term capital flows,Long-term loans,,A,International trade,,,,BEGINNER
985,One problem facing the ecoomic integration of countries in West Africa is the,presence of large and developed markets.,uneven development among West African countries.,existence of different central banks in the countries.,failure of labour to move freely in the region.,,B,International trade,,,,BEGINNER
986,One objective of the Organization of Petroleum Exporting Countries (OPEC) is to,harmonise and stabilize oil prices,ensure excess supply of oil to consuming countries.,subsidise oil prices in member countries.,assist member countries to exploit oil resources.,,A,International economic organisations,,,,BEGINNER
987,Which of the following resoures is renewable?,Coal,Iron ore,Rice,Limestone,,C,Petroleum and other mineral resources,,,,BEGINNER
988,The negative effects of mining in West Africa does not include,reafforestation in rural communities.,land degradation.,destructio of farmlands.,population of water bodies.,,A,Petroleum and other mineral resources,,,,BEGINNER
989,The following are examples of ecoomic goods except,Bottled water,Air,Household utensils,Shelter,,B,Demand and supply,,,,BEGINNER
990,A tent-making factory offers,Personal services,Indirect services,Social services,Reflex services,,B,Production,,,,BEGINNER
991,In which of the following economic systems do we have mostly private ownership of resources and indivudal decision making?,Capitalist system,Socialist system,Mixed system,Traditional system,,A,Basic economic system,,,,BEGINNER
992,The sum of items divided by the number of items in the,frequency.,mean.,median.,mode.,,B,Basic tools of Economic analysis,,,,BEGINNER
993,"Find the median of the following set of scores: 8, 9, 6, 5, 10.",9,8,6,5,,B,Basic tools of Economic analysis,,,,BEGINNER
994,Which of the following causes the demand curve to shift to the right?,A reduction in the size of population,An increase in the income of the buyer,The availability of substitutes,A decrease in price of the good,,B,Theory of demand and supply,,,,BEGINNER
995,Goods for which demand rises as income rises are,Complementary goods,Inferior goods,Normal goods,Substitutes,,C,Theory of demand and supply,,,,BEGINNER
996,The slope of a supply curve is,horizontal.,uniform.,positive.,vertical.,,C,Theory of demand and supply,,,,BEGINNER
997,Equilibrium price is the price at which quantity,demanded is greater than quantity supplied.,supplied is greater than quantity demanded.,demanded is equal to quantity supplied.,supplied equal quantity produced.,,C,Theory of demand and supply,,,,BEGINNER
998,A decrease in supply with demand remaining unchanged will cause the equilibrium price for a good to,be unchanged.,remain elastic.,remain inelastic.,rise.,,D,Theory of demand and supply,,,,BEGINNER
999,"At the highest level of total utility, marginal utility is",negative.,positive and falling.,positive and rising.,zero.,,D,Concept of utility,,,,BEGINNER
1000,"The law of diminishing marginal utility states that, the more a commodity is consumed the",higher the satisfaction derived from an additional unit.,higher the price to be paid.,lower the quantity supplied.,lower the rate of increase in the total utility derived.,,D,Theory of consumer behaviour,,,,BEGINNER
